"diameter","albedo","rot_per","producer","spkid","full_name","epoch","e","a","om","w","ma","per","i"
,,,"Otto Matic",20053550," 53550 (2000 BF19)",2460600.5,0.4196,1.495,313.14,324.95,67.25,668,7.17
0.843,0.222,43,"Otto Matic",20053789," 53789 (2000 ED104)",2460600.5,0.2692,1.371,190.02,218.35,236.89,586,40.78
0.918,0.033,7.746,"Otto Matic",20065679," 65679 (1989 UQ)",2460600.5,0.2647,0.9148,178.08,15.01,195.92,320,1.30
,,7.1125,"Otto Matic",20065690," 65690 (1991 DG)",2460600.5,0.3632,1.428,180.10,63.37,212.30,623,11.14
,,20.33,"Otto Matic",20065717," 65717 (1993 BX3)",2460600.5,0.2810,1.395,174.75,290.95,104.62,602,2.81
0.78,,2.2593,"Steve Chesley",20065803," 65803 Didymos (1996 GT)",2460600.5,0.3833,1.643,72.99,319.60,339.93,769,3.41
,,3,"Otto Matic",20065909," 65909 (1998 FH12)",2460600.5,0.5397,1.091,108.59,284.51,196.93,416,3.56
1.317,,2.7645,"Otto Matic",20066391," 66391 Moshup (1999 KW4)",2460600.5,0.6884,0.6424,244.90,192.65,296.90,188,38.88
,,,"Otto Matic",20067367," 67367 (2000 LY27)",2460600.5,0.2127,1.308,264.51,184.84,248.94,547,9.02
,,,"Otto Matic",20067381," 67381 (2000 OL8)",2460600.5,0.5430,1.321,294.84,266.96,38.01,554,10.67
0.994,0.449,2.429,"Otto Matic",20068216," 68216 (2001 CV26)",2460600.5,0.3267,1.32,18.13,48.74,301.79,554,17.99
0.736,0.291,4.987,"Otto Matic",20068346," 68346 (2001 KZ66)",2460600.5,0.4166,1.507,219.37,140.29,133.79,676,16.70
,,6.354,"Otto Matic",20068347," 68347 (2001 KB67)",2460600.5,0.3799,0.9616,245.86,243.82,352.38,344,17.13
,,,"Otto Matic",20068372," 68372 (2001 PM9)",2460600.5,0.4160,1.618,252.96,322.33,157.97,752,8.11
1.182,0.289,,"Otto Matic",20068548," 68548 (2001 XR31)",2460600.5,0.4368,1.707,302.02,24.71,186.50,815,22.72
1.650,0.178,45.24,"Otto Matic",20068950," 68950 (2002 QF15)",2460600.5,0.3443,1.057,236.21,255.57,54.57,397,25.15
,,13.894,"Otto Matic",20069230," 69230 Hermes (1937 UB)",2460600.5,0.6239,1.655,34.05,92.90,279.39,778,6.07
1.1,0.242,,"Otto Matic",20085182," 85182 (1991 AQ)",2460600.5,0.7777,2.22,339.40,243.23,59.27,1.21e+03,3.12
,,5.057,"Otto Matic",20085236," 85236 (1993 KH)",2460600.5,0.3110,1.234,54.36,293.82,252.62,501,12.81
,,11.6,"Otto Matic",20085585," 85585 Mjolnir (1998 FG2)",2460600.5,0.3563,1.298,2.31,95.42,37.53,540,4.08
,,,"Otto Matic",20085640," 85640 (1998 OX4)",2460600.5,0.4859,1.58,299.57,117.30,15.27,726,4.52
3.484,0.076,5.37,"Otto Matic",20085713," 85713 (1998 SS49)",2460600.5,0.6388,1.923,40.95,103.13,239.57,974,10.79
0.939,0.042,55.,"Otto Matic",20085774," 85774 (1998 UT18)",2460600.5,0.3288,1.403,64.62,50.15,178.64,607,13.59
,,2.5141,"Otto Matic",20085938," 85938 (1999 DJ4)",2460600.5,0.4846,1.853,19.87,197.79,41.94,921,9.14
