"diameter","albedo","rot_per","producer","spkid","full_name","epoch","e","a","om","w","ma","per","i"
4.843,0.227,2.7063,"Otto Matic",20005143,"  5143 Heracles (1991 VL)",2460600.5,0.7710,1.835,309.09,228.22,45.49,908,8.98
,,6.653,"Otto Matic",20005189,"  5189 (1990 UQ)",2460600.5,0.4783,1.552,135.05,159.95,257.64,706,3.58
,,,"Otto Matic",20005324,"  5324 Lyapunov (1987 SL)",2460600.5,0.6052,2.982,352.16,321.13,101.93,1.88e+03,19.62
3.6,,5.803,"Otto Matic",20005332,"  5332 Davidaguilar (1990 DA)",2460600.5,0.4557,2.163,142.77,306.07,339.58,1.16e+03,25.52
3.6,0.037,,"Otto Matic",20005370,"  5370 Taranis (1986 RA)",2460600.5,0.6370,3.319,177.79,161.31,90.75,2.21e+03,19.17
0.935,0.507,2.8233,"Otto Matic",20005381,"  5381 Sekhmet (1991 JY)",2460600.5,0.2964,0.9475,58.53,37.42,199.13,337,48.97
,,2.855,"Otto Matic",20005496,"  5496 (1973 NA)",2460600.5,0.6350,2.435,101.04,117.98,195.45,1.39e+03,68.00
3.57,0.32,5.0522,"Otto Matic",20005587,"  5587 (1990 SB)",2460600.5,0.5441,2.4,189.85,86.96,103.89,1.36e+03,18.07
,,,"Otto Matic",20005590,"  5590 (1990 VA)",2460600.5,0.2802,0.9864,216.26,34.47,25.89,358,14.18
0.55,0.48,5.3375,"Otto Matic",20005604,"  5604 (1992 FE)",2460600.5,0.4061,0.9286,311.89,82.68,269.92,327,4.71
,,5.307,"Otto Matic",20005620,"  5620 Jasonwheeler (1990 OA)",2460600.5,0.4228,2.159,128.65,153.76,292.11,1.16e+03,7.87
,,2.48611,"Otto Matic",20005626,"  5626 Melissabrucker (1991 FE)",2460600.5,0.4547,2.195,173.10,231.87,200.05,1.19e+03,3.85
1.668,0.121,30.39,"Otto Matic",20005645,"  5645 (1990 SP)",2460600.5,0.3873,1.355,45.71,48.27,164.51,576,13.51
4.3,0.223,3.1999,"Otto Matic",20005646,"  5646 (1990 TR)",2460600.5,0.4357,2.144,14.10,335.77,314.96,1.15e+03,7.91
1.537,0.271,4.834,"Otto Matic",20005653,"  5653 Camarillo (1992 WD5)",2460600.5,0.3042,1.794,9.89,122.62,63.97,878,6.87
,,17.5,"Otto Matic",20005660,"  5660 (1974 MA)",2460600.5,0.7621,1.785,302.12,127.04,358.08,871,38.14
,,2.496,"Otto Matic",20005693,"  5693 (1993 EA)",2460600.5,0.5851,1.271,96.98,258.98,203.14,523,5.06
5.231,0.031,,"Otto Matic",20005731,"  5731 Zeus (1988 VP4)",2460600.5,0.6521,2.266,280.59,218.43,166.28,1.25e+03,11.20
2.3,0.36,76,"Otto Matic",20005751,"  5751 Zao (1992 AC)",2460600.5,0.4254,2.101,121.63,25.46,254.35,1.11e+03,16.07
,,23.6,"Otto Matic",20005786,"  5786 Talos (1991 RC)",2460600.5,0.8268,1.081,161.28,8.39,277.56,411,23.22
0.4,,2.706,"Otto Matic",20005797,"  5797 Bivoj (1980 AA)",2460600.5,0.4443,1.894,298.92,168.64,69.36,952,4.19
1.457,0.331,2.6666,"Otto Matic",20005828,"  5828 (1991 AM)",2460600.5,0.6949,1.698,125.42,152.77,57.64,808,30.12
2.754,0.156,4.9543,"Otto Matic",20005836,"  5836 (1993 MF)",2460600.5,0.5365,2.441,238.71,78.09,59.58,1.39e+03,7.94
1.345,0.488,5.867,"Otto Matic",20005863,"  5863 Tara (1983 RB)",2460600.5,0.5065,2.222,168.76,115.62,166.87,1.21e+03,19.49
,,17.519,"Otto Matic",20005869,"  5869 Tanith (1988 VN4)",2460600.5,0.3213,1.812,227.85,230.86,232.38,891,17.93
,,21.967,"Otto Matic",20005879,"  5879 Almeria (1992 CH1)",2460600.5,0.2892,1.625,145.83,355.78,283.14,756,21.57
,,2.7602,"Otto Matic",20006037,"  6037 (1988 EG)",2460600.5,0.4997,1.272,182.18,242.32,249.72,524,3.51
,,,"Otto Matic",20006047,"  6047 (1991 TB1)",2460600.5,0.3521,1.455,6.07,103.82,242.40,641,23.47
2.884,0.257,5.7566,"Otto Matic",20006050,"  6050 Miwablock (1992 AE)",2460600.5,0.4372,2.202,88.15,285.05,33.19,1.19e+03,6.41
3.720,0.140,2.573,"Otto Matic",20006053,"  6053 (1993 BW3)",2460600.5,0.5287,2.147,318.23,74.93,82.05,1.15e+03,21.58
1.4,0.21,48.6,"Otto Matic",20006063,"  6063 Jason (1984 KB)",2460600.5,0.7622,2.22,169.03,337.61,99.90,1.21e+03,4.96
2.3,0.15,3.5002,"Otto Matic",20006178,"  6178 (1986 DA)",2460600.5,0.5845,2.815,64.49,127.48,54.83,1.72e+03,4.31
,,3.5558,"Otto Matic",20006239,"  6239 Minos (1989 QF)",2460600.5,0.4126,1.151,344.53,239.77,224.50,451,3.94
