"diameter","albedo","rot_per","producer","spkid","full_name","epoch","e","a","om","w","ma","per","i"
,,,"Nick Mastrodemos",1002382,"   73P/Schwassmann-Wachmann 3-BG",2453839.5,0.6848,2.98,69.72,198.95,349.31,1.88e+03,11.32
,,,"Nick Mastrodemos",1002383,"   73P/Schwassmann-Wachmann 3-BH",2453839.5,0.6824,2.959,69.80,198.84,349.23,1.86e+03,11.29
,,,"Nick Mastrodemos",1002384,"   73P/Schwassmann-Wachmann 3-BI",2453856.5,0.6825,2.96,69.75,198.91,352.50,1.86e+03,11.30
,,,"Nick Mastrodemos",1002385,"   73P/Schwassmann-Wachmann 3-BJ",2453839.5,0.6911,3.041,69.88,198.80,349.65,1.94e+03,11.37
,,,"Nick Mastrodemos",1002386,"   73P/Schwassmann-Wachmann 3-BK",2453839.5,0.6915,3.045,69.90,198.78,349.63,1.94e+03,11.37
,,,"Nick Mastrodemos",1002387,"   73P/Schwassmann-Wachmann 3-BL",2453839.5,0.6962,3.091,69.97,198.70,349.87,1.99e+03,11.41
,,,"Nick Mastrodemos",1002388,"   73P/Schwassmann-Wachmann 3-BM",2453839.5,0.6824,2.959,69.78,198.86,349.15,1.86e+03,11.29
,,,"Nick Mastrodemos",1002390,"   73P/Schwassmann-Wachmann 3-BN",2453856.5,0.6918,3.047,69.88,198.79,352.92,1.94e+03,11.38
,,,"Nick Mastrodemos",1002391,"   73P/Schwassmann-Wachmann 3-BO",2453856.5,0.6918,3.048,69.89,198.77,352.91,1.94e+03,11.38
,,,"Nick Mastrodemos",1002392,"   73P/Schwassmann-Wachmann 3-BP",2453856.5,0.6825,2.96,69.81,198.85,352.57,1.86e+03,11.29
,,,"Nick Mastrodemos",1002393,"   73P/Schwassmann-Wachmann 3-BQ",2453856.5,0.6925,3.054,69.87,198.82,352.93,1.95e+03,11.39
,,,"Nick Mastrodemos",1002395,"   73P/Schwassmann-Wachmann 3-BR",2453856.5,0.6852,2.984,69.83,198.84,353.07,1.88e+03,11.32
,,,"Nick Mastrodemos",1002396,"   73P/Schwassmann-Wachmann 3-BS",2453856.5,0.6986,3.115,69.94,198.77,353.59,2.01e+03,11.44
,,,"Otto Matic",1003506,"   73P/Schwassmann-Wachmann 3-BT",2457821.5,0.6856,3.092,69.66,199.35,358.58,1.99e+03,11.24
,,,"Davide Farnocchia",1003864,"   73P/Schwassmann-Wachmann 3-BU",2459786.5,0.6677,2.888,70.74,199.85,354.01,1.79e+03,11.05
,,,"Davide Farnocchia",1003865,"   73P/Schwassmann-Wachmann 3-BV",2459790.5,0.6892,3.134,69.52,199.39,355.38,2.03e+03,11.24
,,,"Davide Farnocchia",1003873,"   73P/Schwassmann-Wachmann 3-BW",2459806.5,0.7778,4.502,67.33,198.68,358.92,3.49e+03,11.61
,,,"Davide Farnocchia",1003874,"   73P/Schwassmann-Wachmann 3-BX",2459808.5,0.6873,3.116,69.49,199.38,358.51,2.01e+03,11.26
,,,"Davide Farnocchia",1003875,"   73P/Schwassmann-Wachmann 3-BY",2459807.5,0.6799,3.034,69.77,199.46,358.45,1.93e+03,11.20
2.8,,,"Javier Roa",1000022,"   79P/du Toit-Hartley",2454391.5,0.5941,3.031,307.84,253.27,318.28,1.93e+03,2.89
,,,"Davide Farnocchia",1003790,"   79P/du Toit-Hartley-A",2445045.5,0.6023,3.004,309.38,251.57,357.46,1.9e+03,2.94
,,,"Davide Farnocchia",1003791,"   79P/du Toit-Hartley-B",2445018.5,0.5996,2.981,309.31,251.72,352.17,1.88e+03,2.94
,,,"Steven R. Chesley",1000004,"   85D/Boethin",2454252.5,0.7812,5.185,359.40,37.62,313.19,4.31e+03,4.30
6.4,,,"Shantanu Naidu",1000061,"   96P/Machholz 1",2457952.5,0.9592,3.035,94.25,14.79,340.99,1.93e+03,58.14
